 Time;Temp;RPM;COUNTER;BearingDE;BearingNDE;Unbal;Misal;Losenes 
2019-03-15-13:33:47; 28.5;0.0;0.0;0.9357427;0.9357427;0.0433479;0.0;0.0
2019-03-15-13:34:07; 28.5;0.0;0.0;0.949884;0.949884;0.10775433;0.0;0.0
2019-03-15-13:34:27; 28.5;0.0;0.0;0.8076452;0.8076452;0.04725081;0.0;0.0
2019-03-15-13:34:47; 28.5;0.0;0.0;0.9858978;0.9858978;0.05710942;0.0;0.0
2019-03-15-13:35:08; 28.5;0.0;0.0;0.9537339;0.9537339;0.07585933;0.0;0.0
2019-03-15-13:35:28; 28.5;0.0;0.0;1.073247;1.073247;0.0599457;0.0;0.0
2019-03-15-13:35:48; 28.5;0.0;0.0;0.9766531;0.9766531;0.03192869;0.0;0.0
2019-03-15-13:36:08; 28.5;0.0;0.0;0.7962484;0.7962484;0.0318278;0.0;0.0
2019-03-15-13:36:28; 28.5;0.0;0.0;0.9457235;0.9457235;0.04995261;0.0;0.0
2019-03-15-13:36:49; 28.4;0.0;0.0;0.8462608;0.8462608;0.02585764;0.0;0.0
2019-03-15-13:37:09; 28.4;0.0;0.0;0.9323227;0.9323227;0.06393;0.0;0.0
2019-03-15-13:37:29; 28.4;0.0;0.0;0.996494;0.996494;0.05740557;0.0;0.0
2019-03-15-13:37:49; 28.4;0.0;0.0;0.9113873;0.9113873;0.04209052;0.0;0.0
2019-03-15-13:38:09; 28.4;0.0;0.0;0.8406641;0.8406641;0.05360218;0.0;0.0
2019-03-15-13:38:30; 28.4;0.0;0.0;0.7427989;0.7427989;0.0587223;0.0;0.0
2019-03-15-13:38:50; 28.4;0.0;0.0;0.8291405;0.8291405;0.06021006;0.0;0.0
2019-03-15-13:39:10; 28.4;0.0;0.0;0.7791603;0.7791603;0.06152379;0.0;0.0
2019-03-15-13:39:30; 28.4;0.0;0.0;0.8635532;0.8635532;0.03777887;0.0;0.0
2019-03-15-13:39:51; 28.4;0.0;0.0;0.9191902;0.9191902;0.06284543;0.0;0.0
2019-03-15-13:40:11; 28.3;0.0;0.0;1.063317;1.063317;0.05781672;0.0;0.0
2019-03-15-13:40:31; 28.3;0.0;0.0;0.8748336;0.8748336;0.0549489;0.0;0.0
2019-03-15-13:40:51; 28.3;0.0;0.0;0.8918038;0.8918038;0.0582578;0.0;0.0
2019-03-15-13:41:11; 28.3;0.0;0.0;0.8412701;0.8412701;0.05324502;0.0;0.0
2019-03-15-13:41:32; 28.3;0.0;0.0;1.069735;1.069735;0.06351281;0.0;0.0
2019-03-15-13:41:52; 28.3;0.0;0.0;0.8819128;0.8819128;0.05360963;0.0;0.0
2019-03-15-13:42:12; 28.3;0.0;0.0;0.8912969;0.8912969;0.07911611;0.0;0.0
2019-03-15-13:42:32; 28.3;0.0;0.0;0.6901421;0.6901421;0.03168121;0.0;0.0
2019-03-15-13:42:53; 28.3;0.0;0.0;1.034753;1.034753;0.03964761;0.0;0.0
2019-03-15-13:43:13; 28.3;0.0;0.0;0.7412933;0.7412933;0.06515374;0.0;0.0
2019-03-15-13:43:33; 28.3;0.0;0.0;0.9086847;0.9086847;0.0430708;0.0;0.0
2019-03-15-13:43:53; 28.3;0.0;0.0;0.7478837;0.7478837;0.03556105;0.0;0.0
